               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040714,            0.020426,           0.0064091,             0.68707,             0.42675,              0.4523,             0.21965,            0.057979,            0.033992,            0.019941,            0.002872,            0.002872,            0.002872
                  38,            0.040143,             0.01915,           0.0065656,             0.69854,             0.43336,             0.45074,             0.21886,            0.057583,            0.034285,            0.020707,            0.002674,            0.002674,            0.002674
                  39,            0.039104,            0.018577,           0.0062376,             0.68173,             0.41052,             0.44885,             0.22271,            0.057958,            0.034837,            0.021138,            0.002476,            0.002476,            0.002476
                  40,            0.039124,            0.017774,           0.0064063,             0.75177,             0.39969,             0.45653,              0.2214,            0.057652,            0.036346,            0.021062,            0.002278,            0.002278,            0.002278
                  41,            0.038121,            0.018186,           0.0062195,             0.70176,             0.39863,             0.44554,             0.22169,            0.057363,             0.03576,            0.020493,             0.00208,             0.00208,             0.00208
                  42,             0.03824,            0.017773,           0.0060408,             0.71451,              0.3884,             0.44924,             0.20999,            0.057894,            0.036962,            0.020977,            0.001882,            0.001882,            0.001882
                  43,            0.037585,            0.018939,           0.0055387,             0.69646,             0.39126,             0.44455,             0.20647,            0.057776,            0.036583,            0.021234,            0.001684,            0.001684,            0.001684
                  44,            0.038368,             0.01874,           0.0063636,             0.70365,             0.38162,             0.43975,              0.2017,            0.057414,            0.035993,            0.021195,            0.001486,            0.001486,            0.001486
                  45,            0.038177,            0.018171,           0.0056658,             0.69696,              0.3614,             0.43321,             0.20844,            0.057904,            0.036646,            0.021457,            0.001288,            0.001288,            0.001288
                  46,            0.037469,            0.018142,           0.0060587,             0.74328,              0.3753,             0.44449,             0.21371,            0.056972,            0.037156,            0.021697,             0.00109,             0.00109,             0.00109
                  47,             0.03832,            0.019646,            0.005683,             0.71115,             0.38133,             0.44647,              0.2162,            0.057128,            0.036707,            0.022391,            0.000892,            0.000892,            0.000892
                  48,            0.036779,            0.018519,           0.0054575,             0.71772,             0.35588,             0.42648,             0.21217,            0.057671,            0.036973,            0.022131,            0.000694,            0.000694,            0.000694
                  49,             0.03692,            0.018059,           0.0059994,              0.7432,              0.3706,              0.4429,             0.21825,            0.057342,            0.036648,            0.022264,            0.000496,            0.000496,            0.000496
