               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045161,            0.030408,           0.0040393,             0.63382,             0.35126,              0.4228,             0.17598,             0.05701,            0.060046,           0.0098425,            0.002872,            0.002872,            0.002872
                  38,            0.044737,            0.029611,           0.0041915,             0.58275,             0.37602,             0.42309,             0.18262,            0.056512,            0.059476,           0.0098614,            0.002674,            0.002674,            0.002674
                  39,            0.044765,            0.029086,           0.0035776,             0.55013,             0.42386,             0.42871,             0.18376,             0.05615,            0.059448,           0.0094801,            0.002476,            0.002476,            0.002476
                  40,            0.044106,            0.027854,            0.004795,             0.56066,             0.37628,             0.40271,             0.17494,            0.055512,            0.060575,           0.0098544,            0.002278,            0.002278,            0.002278
                  41,            0.044283,            0.029099,            0.004109,              0.5288,             0.38174,             0.42163,             0.18381,            0.055829,            0.059334,           0.0095924,             0.00208,             0.00208,             0.00208
                  42,             0.04279,            0.029223,           0.0034474,             0.46956,             0.41114,             0.41876,             0.18679,            0.056193,            0.060083,           0.0097998,            0.001882,            0.001882,            0.001882
                  43,            0.043012,            0.029567,           0.0038907,             0.74935,             0.31433,              0.4084,             0.17944,            0.056365,            0.061587,             0.01004,            0.001684,            0.001684,            0.001684
                  44,            0.043561,            0.029308,           0.0039231,             0.52365,             0.37861,             0.42254,             0.17707,            0.055998,            0.062979,           0.0095432,            0.001486,            0.001486,            0.001486
                  45,             0.04249,            0.028296,           0.0034663,             0.75355,             0.31885,             0.42667,             0.18189,            0.055802,            0.061443,           0.0098955,            0.001288,            0.001288,            0.001288
                  46,             0.04194,            0.030712,           0.0033329,             0.44483,             0.43813,             0.43733,             0.18279,             0.05535,            0.060311,           0.0097127,             0.00109,             0.00109,             0.00109
                  47,            0.040946,            0.028944,           0.0034515,             0.78333,             0.34266,             0.43709,              0.1815,            0.055408,            0.060832,           0.0094505,            0.000892,            0.000892,            0.000892
                  48,             0.04133,            0.029118,           0.0031808,             0.44773,             0.47762,             0.43253,             0.18548,            0.055562,            0.061088,           0.0093186,            0.000694,            0.000694,            0.000694
