               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040925,            0.016479,           0.0064447,             0.62135,             0.49478,             0.53139,             0.26761,            0.050097,            0.030314,            0.016688,            0.002872,            0.002872,            0.002872
                  38,            0.041686,            0.018342,           0.0061951,             0.78238,             0.43807,             0.53695,             0.26973,             0.04991,            0.030324,             0.01663,            0.002674,            0.002674,            0.002674
                  39,            0.040215,              0.0161,            0.006021,             0.75079,             0.45253,             0.53893,             0.27419,            0.050542,            0.031122,            0.016368,            0.002476,            0.002476,            0.002476
                  40,            0.040164,            0.016367,           0.0057111,             0.70861,              0.4638,               0.537,             0.26262,            0.050592,            0.031353,            0.016646,            0.002278,            0.002278,            0.002278
                  41,            0.038678,            0.015989,           0.0058159,             0.72062,             0.45333,             0.52003,             0.24859,            0.051002,            0.032076,            0.018026,             0.00208,             0.00208,             0.00208
                  42,            0.037772,            0.014895,           0.0058229,             0.64654,             0.46276,             0.51972,             0.25278,            0.050542,            0.032318,             0.01837,            0.001882,            0.001882,            0.001882
                  43,            0.038048,            0.016804,           0.0051045,             0.68994,             0.45174,             0.52751,             0.25973,            0.050579,            0.032809,            0.018315,            0.001684,            0.001684,            0.001684
                  44,            0.037172,            0.015911,           0.0056632,             0.81818,             0.40293,             0.51493,             0.24871,            0.050957,             0.03311,            0.018564,            0.001486,            0.001486,            0.001486
                  45,            0.038428,            0.016383,           0.0055284,             0.59523,             0.52995,             0.54319,             0.27318,            0.050111,            0.030666,            0.018003,            0.001288,            0.001288,            0.001288
                  46,              0.0374,            0.015642,           0.0063371,             0.66965,             0.49348,             0.55742,             0.27024,            0.049677,            0.030617,            0.017633,             0.00109,             0.00109,             0.00109
                  47,            0.036984,            0.016148,           0.0058481,             0.63155,             0.51454,             0.54948,             0.26461,            0.050097,            0.031606,            0.017132,            0.000892,            0.000892,            0.000892
                  48,            0.037208,            0.016694,           0.0056395,             0.79324,             0.43803,             0.54645,             0.27005,            0.050051,            0.031825,             0.01763,            0.000694,            0.000694,            0.000694
                  49,            0.037083,            0.015411,           0.0054308,             0.80916,             0.43298,             0.54731,              0.2665,            0.049825,            0.031355,             0.01748,            0.000496,            0.000496,            0.000496
