               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040889,            0.016901,            0.006631,             0.66961,             0.37831,             0.42817,             0.19401,            0.055445,            0.028234,            0.022254,            0.002872,            0.002872,            0.002872
                  38,            0.040075,            0.016983,            0.006393,             0.52948,             0.42891,             0.42075,             0.18449,            0.055925,            0.028213,            0.023879,            0.002674,            0.002674,            0.002674
                  39,            0.039345,            0.016507,           0.0060878,             0.72158,             0.38078,             0.44552,             0.20596,             0.05424,             0.02781,             0.02305,            0.002476,            0.002476,            0.002476
                  40,            0.039116,            0.015678,           0.0065459,             0.48502,              0.4108,             0.42518,             0.19925,            0.054116,            0.029113,            0.024465,            0.002278,            0.002278,            0.002278
                  41,            0.038242,            0.016107,           0.0061675,             0.69988,             0.34845,             0.40815,             0.18133,            0.054649,            0.029192,            0.025547,             0.00208,             0.00208,             0.00208
                  42,            0.039094,            0.015851,           0.0060512,             0.61593,             0.39264,              0.4263,             0.20091,             0.05351,            0.028771,            0.023777,            0.001882,            0.001882,            0.001882
                  43,            0.037639,            0.017433,           0.0059959,             0.67263,             0.36317,              0.4225,             0.19331,            0.054901,            0.029512,            0.022523,            0.001684,            0.001684,            0.001684
                  44,            0.036645,             0.01632,           0.0053819,             0.77661,             0.35267,             0.43062,              0.1989,            0.054072,            0.029267,            0.023588,            0.001486,            0.001486,            0.001486
                  45,            0.035725,             0.01526,           0.0052472,             0.69603,             0.37096,             0.42814,             0.20003,            0.053624,            0.028936,            0.027377,            0.001288,            0.001288,            0.001288
                  46,            0.037447,            0.015712,           0.0054517,             0.60604,             0.38089,             0.42061,             0.19638,            0.053291,            0.029001,            0.027564,             0.00109,             0.00109,             0.00109
                  47,            0.035723,            0.015486,           0.0058895,             0.68201,             0.37837,             0.44489,             0.20471,            0.053388,            0.029136,             0.02507,            0.000892,            0.000892,            0.000892
                  48,            0.035032,            0.015509,           0.0056452,             0.69846,             0.37639,             0.44658,              0.2038,            0.053522,            0.029562,            0.024954,            0.000694,            0.000694,            0.000694
                  49,            0.035855,            0.014919,           0.0059452,             0.71848,             0.34353,             0.42137,             0.19502,            0.054123,             0.03006,            0.023977,            0.000496,            0.000496,            0.000496
