               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04003,            0.014663,           0.0064616,             0.83613,             0.61475,             0.67177,             0.35675,            0.046243,            0.024307,            0.016524,            0.002872,            0.002872,            0.002872
                  38,            0.040527,            0.014767,           0.0067395,             0.82793,             0.63492,             0.68276,             0.37383,            0.046006,            0.024007,            0.017149,            0.002674,            0.002674,            0.002674
                  39,            0.039884,            0.014683,           0.0067002,             0.84939,              0.6372,             0.68347,             0.37957,            0.045152,            0.023666,            0.017655,            0.002476,            0.002476,            0.002476
                  40,            0.038325,             0.01456,           0.0066601,             0.80536,             0.61825,             0.67027,             0.37068,            0.045556,            0.024408,            0.017239,            0.002278,            0.002278,            0.002278
                  41,            0.038259,            0.013444,           0.0071273,             0.87567,             0.56289,             0.66552,             0.37008,            0.045394,            0.024073,            0.017239,             0.00208,             0.00208,             0.00208
                  42,            0.037589,            0.013726,           0.0063338,             0.86063,             0.59868,             0.68168,             0.38073,            0.045338,            0.024058,            0.017004,            0.001882,            0.001882,            0.001882
                  43,            0.038076,            0.013313,           0.0064517,             0.83365,             0.63881,             0.68636,             0.38402,            0.045212,            0.024262,            0.017083,            0.001684,            0.001684,            0.001684
                  44,            0.037377,            0.012917,           0.0064297,             0.85838,             0.64021,             0.69325,             0.38609,            0.045087,            0.023913,            0.016962,            0.001486,            0.001486,            0.001486
                  45,            0.036782,            0.012264,           0.0068426,             0.83434,             0.63137,             0.68039,             0.38965,            0.045038,            0.024266,            0.016533,            0.001288,            0.001288,            0.001288
                  46,            0.036859,            0.013705,           0.0070066,             0.79902,             0.65319,             0.69243,             0.39541,            0.044608,            0.023801,            0.017323,             0.00109,             0.00109,             0.00109
                  47,            0.036468,            0.013119,           0.0064047,             0.81712,             0.61752,             0.68204,             0.40152,            0.044735,            0.024199,            0.017301,            0.000892,            0.000892,            0.000892
                  48,            0.036195,            0.012141,            0.006154,             0.79606,             0.62825,             0.68688,             0.39977,            0.044791,            0.024126,            0.017152,            0.000694,            0.000694,            0.000694
                  49,            0.035561,            0.012868,           0.0060231,             0.80267,             0.62831,             0.68422,             0.40463,            0.044835,            0.024147,             0.01725,            0.000496,            0.000496,            0.000496
